id,ball,over,runs,isBoundary,isWide,isNoball,shortText,text,preText,postText
219020,2,20,4,TRUE,FALSE,FALSE,"Boult to du Plessis, FOUR runs","<B>swiped through midwicket to end CSK's drought</b> against Mumbai. Short of a length slower ball sitting up at middle stump, pulled firmly off the front foot",,"<p><b>10:20pm</b> Right, sorry for the confusion on the Man of the Match! It goes to Ambati Rayudu, who was by some distance the best batsmen tonight. And with that, we close our live coverage for the day. What a comeback it has been - it was rusty and creaky in some parts, but this was proper IPL intensity. Chennai Super Kings starting strong like they do. Defending champions, Mumbai missing out on some key strategic moments that they will think about. Some obvious concerns with their bowling too that they'll need to paper over. We'll see how they bounce back. For now - watch out for the post-match stuff coming out tonight and in the morning. We'll see you tomorrow. Good night and welcome back!<br><br></p><p><b>Ambati Rayudu is the Man of the Match.</b>: ""Normally we also train in summer. We were really eager. The surface was good. It was doing a bit with the new ball, but once the dew came in, it got easier. We practised in Chennai and Dubai. That really helped.""<br><br></p><p><b>MS Dhoni:</b> It's a very different, doesn't feel like a post-match presentation. Overall - [liked] how we played after a very long time. You want to assess the conditions and give your best. I felt we took time to gauge how to bowl in these conditions. The MI batsmen batted well, they were able to put pressure. Overall plenty of positives, but plenty of areas to improve. Specially with the timing, if you bat second, teams will realise it will swing till the dew comes in. These are the learnings. Overall a very good first game to play and no injuries - most of us are retired. [Experience] does pay off. Especially these days 300 ODIs with three-match series, it's a big feat. You need a good mix of youngsters and experience. What really helps youngsters in the IPL is the fact that there are lots of senior players from different countries for 60-70 days.</p><p>[With] Curran - that's one thing we haven't done [experimenting]. At some point of time we need to give Jadeja and somebody like Sam to express themselves. This was the ideal way - one legspinner, one left arm spinner. We felt it was ideal to intimidate the bowler, a psychological thing - to say he's been sent to do one job. <br><br></p><p><br>Okay hang on, we're not sure Curran is Man of the Match. More of the presentation coming up.<br><br></p><p><b>Sam Curran:</b> I was actually really excited when I was coming to Chennai. Haven't met a lot of guys, haven't had much to think, landed two days ago and straight out there. To be honest, <b>very surprised I went in</b> but he's a genius, he obviously thought something. I think so [left-right combo], that was the over we wanted to target - a six or out approach.<br></p><p><b>Rohit Sharma:</b> Batsmen didn't carry on once they got in like Du Plessis and rayed did. That's something we failed to do. But credit to CSK bowlers, they kept us guessing all the time. Something for us to learn. Still early days, but credit to CSK. We all want to start really well, it's crucial in this tournament to get that balance right. A few things for us to learn from this game, we made mistakes. Hopefully we can rectify those and come back stronger. It was completely from what we're used to, having so many people cheer for us at the stadium. But I think IPL did a great Jon making sure there was some noise going around the stadium. We've got to understand and adapt to the pitches. The pitch got Better towards the end with end ew coming. It's not that we've not played at bigger grounds. We've got to hit those gaps and make sure we get singles and doubles, it's not just about hitting the shots. It's all about understanding what one needs to do.</p><p>Gaurab Khatiwad: ""If I had to pick one ball that changed the momentum of csk chase that would be bumrah's no ball in 6th over.""<br><br>Cricfanalways: ""So the 2d player delivered !!!""<br><br>Naveed Malik: ""Sam Curran is such a gun player, going to be a big player for the future for England and across the world if he isn't already!""<br><br>Ajay: ""rayudu bouta make another cryptic tweet for not getting MoM... but jokes apart he should've gotten it superb innings""<br><Br></p><p><b>9:51pm</b> Chennai Super Kings finally get one over Mumbai after five attempts. This will feel sweet. They've come back strongly twice in this match - once in the field, and then after a disaster Powerplay with the bat. And it's happened through their newbies - tidy stuff from Piyush Chawla, and then the perfect strategic use of Sam Curran, whose 18 off 6 pretty much ended things for Mumbai. <b>It is now eight years since Mumbai Indians have won their opening match of the season.</b> What a return to the big stage for Ambati Rayudu, whose last involvement at this level was flavoured with controversy around a World Cup exclusion. It's been over a year though, and he certainly isn't carrying any baggage. A pristine knock in the company of Faf du Plessis, who played his anchor role to perfection and was there to finish it off at the end.</p>"
219010,1,20,4,TRUE,FALSE,FALSE,"Boult to du Plessis, FOUR runs","<b>sliced over point for the tie.</b> Slower ball, length ball, wide ball. Slashes from underneath that","<p>It will be Trent Boult trying to defend five against two of the most experienced batsmen in modern cricket. Third man in, point in, cover in, and fine leg in. He's around the wicket.</p>",
218060,6,19,0,FALSE,FALSE,FALSE,"Bumrah to Dhoni, no run","length and into the body, nudged to midwicket",,
218050,5,19,0,FALSE,FALSE,FALSE,"Bumrah to Dhoni, no run","<b>a first ball duck for Dhoni if this catch behind is upheld.</b> Short ball past his front shoulder, he was looking to hook. Taken down leg side and given out straight away. Was there glove? Definitely no bat. No there wasn't. UltraEdge has a flat line. Decision will be overturned. There was a sound, and Dhoni reckons it was a creak in his bat - seems to be saying that to Hardik Pandya",,
218040,4,19,1,FALSE,FALSE,FALSE,"Bumrah to du Plessis, 1 run","slower short ball outside off, mistimed punch to extra cover's right and <b>Faf du Plessis has a fifty too</b>",,
218030,3,19,4,TRUE,FALSE,FALSE,"Bumrah to du Plessis, FOUR runs","<b>clears extra cover</b> with ease. That is a poor ball. Slower ball, short and very wide. No concealing that, there was so so much time. He waits on that and cuts it aerially",,
218020,2,19,0,FALSE,FALSE,FALSE,"Bumrah to Curran, OUT","<b>oh well taken Pattinson.</b> More backpeddling stuff from Mumbai. Curran brings out the ramp, connects on it too, but Pattinson has kept his eyes on it running backwards before smashing the ball into his chest. The perfect T20 cameo from Curran - 18 off 6 is total value - ends with CSK in sight of a win",,
218010,1,19,6,TRUE,FALSE,FALSE,"Bumrah to Curran, SIX runs","<b>just clears deep midwicket!</b> Who was running backwards for some reason. Was he in from the line to start with? Yes he was. Ten yards in from the line, so it wasn't misjudgement. This is a slower ball, short of a good length and he swung at it, cleanly. Stuck with and managed to drag it. Would have been taken if the fielder was on the line","<p>Abhishek: ""I dont know how.. but i want Curran opening the innings fro CSK... Pinch hitter, CSK would definitely appreciate not having a slow start..""<br>Felix Pinto: ""Here comes that decisive penultimate over!""<br></p>",
217060,6,18,1,FALSE,FALSE,FALSE,"KH Pandya to Curran, 1 run","low full toss at middle again, slugged out to deep midwicket",,<p>Was it leftie v leftie? Was it coz the wind was blowing towards the left-handers leg side? Could be either or all. But the Curra gambit has worked so far. It has to work against Bumrah though for CSK to win this...</p>
217050,5,18,4,TRUE,FALSE,FALSE,"KH Pandya to Curran, FOUR runs","<b>slapped over extra cover!</b> Dropped short of a good length outside off. Reaches out, waits on it as it sits up and flat-bats it to the extra cover boundary",,
217040,4,18,6,TRUE,FALSE,FALSE,"KH Pandya to Curran, SIX runs","<b>smokes it over deep midwicket!</b> Another attempted yorker, but this is a full toss. Front leg out of the way, pummels it",,
217030,3,18,1,FALSE,FALSE,FALSE,"KH Pandya to du Plessis, 1 run","yorker at leg stump, backs into the leg side, can only squeeze it with the angle to deep square",,
217020,2,18,1,FALSE,FALSE,FALSE,"KH Pandya to Curran, 1 run","yorker length outside off, steps out and carves hurriedly down to long-off",,
217010,1,18,0,FALSE,FALSE,FALSE,"KH Pandya to Jadeja, OUT","<b>doesn't go well for Jadeja!</b> This is plumb in front. Full and fast, no nuance from Krunal. It's fired in at middle stump like he's giving him throwdowns. Jadeja tries to flick that though and is caught right in front of middle",,"<p><b>Sam Curran has come out.</b> Still going with the leftie v leftie ploy, it seems.</p>"
216060,6,17,1,FALSE,FALSE,FALSE,"Pattinson to Jadeja, 1 run","length and into the body, flicked through square leg",,"<p>Rajkumar M: ""What happened to Hardik Pandya? Why isn't he bowling today?"" --- Not sure but a good guess is that he's coming back from a back injury. Krunal has the ball now. Jadeja probably came out ahead of Dhoni to try and neutralise him, let's see how that goes...<br></p>"
216050,5,17,4,TRUE,FALSE,FALSE,"Pattinson to Jadeja, FOUR runs",<b>feeds him outside off!</b> A knee high full toss and he merely has to open the face at that. Sprints to the point boundary,<p>Pattinson goes around the wicket</p>,
216040,4,17,1,FALSE,FALSE,FALSE,"Pattinson to du Plessis, 1 run","<b>lands between extra cover and sweeper.</b> Short ball rising up in the corridor. Backs away and looks to paddle that over the covers. Slices it and three fielders converge, without one getting close","<p>Birud Sindhav: ""That catch was in the same league as any of Faf's 3 catches. ""</p>",
216030,3,17,2,FALSE,FALSE,FALSE,"Pattinson to du Plessis, 2 runs","slower short ball at middle stump, check-pull off the front foot. Between deep square and deep midwicket",,
216020,2,17,1,FALSE,FALSE,FALSE,"Pattinson to Jadeja, 1 run","short of a length at leg stump, off his feet to whip to fine leg","<p>Milan Panth: ""I think everyone saw that coming. Both of the batsmen were really uncomfortable with Chahar. Interesting match to witness!""</p>",
216010,1,17,4,TRUE,FALSE,FALSE,"Pattinson to Jadeja, FOUR runs","poor start from Pattinson. Full and on the pads, Jadeja just waits on that and turns it fine","<p>HarryFD: ""Watch every bowler try the chahar run up now""</p>",
215060,6,16,0,FALSE,FALSE,FALSE,"Chahar to Rayudu, OUT","<b>holds onto it himself after sprinting backwards!</b> Superbly done from Chahar. It was coming all over. They were stepping down, swinging hard at Chahar who they clearly wanted to cash in on in his last over. This one lands at a good length, outside off. Rayudu ends up slicing it after not making the pitch. It hangs in the mid-off area and he keeps his eyes on it coming from over his shoulder and holds onto it. Confidently done as he ends his spell with Rayudu's wicket. A sensational knock from him",,<p>Jadeja has come in at No. 5. They need 42 off 24.<br><br></p>
215050,5,16,1,FALSE,FALSE,FALSE,"Chahar to du Plessis, 1 run","<b>well short of long-on.</b> Length ball, steps out and makes the pitch of it but it comes off the toe-end of the bat.",,
215040,4,16,1,FALSE,FALSE,FALSE,"Chahar to Rayudu, 1 run","dropped short, steps out and under-edges the pull to short fine",,
