id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,currentInning,ballTimestamp,matchOver,matchWicket
119060,6,20,2,"Chahar to Bumrah, 2 runs","overpithced at middle stump, clears the front leg and slogs to long-on's right. Comes back for the second",,"<p><b>8:06pm</b> We're ready to go. Shane Watson and M Vijay are padded up and waiting to come on. Mumbai form their huddle.<br></p><p><br></p><p>Dawolf: ""121/3 off 14 overs, 41/6 off the last 6. That's a.decent comeback when 180 would have been the minimum expected from there....""<br>Abhishek: ""@Kalindost.. certainly, Curran should open along side Watson, and should play the role of a pinch hitter.. CSK has had slow starts for way too long, time to change. Personally, I would love to see Ruturaj at no3, once he is fit to play. Dhoni and Rayudu at 4&5....""<br></p><p>Indian hockey captain and all round superstar Manpreet Singh is back in action after recovering from COVID-19 and despite the many challenges ahead of them, team coach Graham Reid is <a href="" https://www.espn.in/field-hockey/story/_/id/29919470/india-hockey-coaches-graham-reid-sjoerd-marijne-worried-team-lack-competitive-matches"" target=""_blank""> optimistic </a> about India's chances at the Olympics.</p><p><b>7:55pm, Innings break</b> Mumbai manage only 38 runs in their last 32 balls, and lose six wickets in the last six overs. The average first innings score here is 147, and the average winning score is 167. So it's not a bad total all in all, but you can see what they were going for - that 180-plus score. And why not, when you have this kind of batting in the middle order? Didn't come off for them today. That one over in particular, where Jadeja was assisted by two fantastic Faf du Plessis catches, has evened the game out. From there, Ngidi made his way back into the game after a nervous start. Quinton de Kock and Saurabh Tiwary the batting heroes tonight for Mumbai; Hardik Pandya threatened but not for long enough. This is superbly poised now thanks to that collapse. Forecaster has a 50-50 prediction now. Catch you in a bit!</p>",FALSE,FALSE,FALSE,FALSE,"[{'id': '625383', 'name': 'Jasprit Bumrah', 'runs': 5, 'balls': 3}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 2, 'balls': 4}]","[{'id': '447261', 'name': 'Deepak Chahar', 'overs': 4, 'maidens': 0, 'runs': 32, 'wickets': 2}, {'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}]","{'id': '226052', 'balls': 120, 'runs': 162, 'wickets': 9, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,"{'maiden': False, 'runs': 6, 'wickets': 1, 'totalRuns': 162, 'totalWicket': 9, 'runRate': 8.1, 'requiredRunRate': 0, 'batsmen': [{'id': '625383', 'name': 'Jasprit Bumrah', 'runs': 5, 'balls': 3}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 2, 'balls': 4}], 'bowlers': [{'id': '447261', 'name': 'Deepak Chahar', 'overs': 4, 'maidens': 0, 'runs': 32, 'wickets': 2}, {'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}], 'teamShortName': 'MI', 'remainingOvers': 0, 'remainingBalls': 0, 'remainingRuns': 0}",
119050,5,20,2,"Chahar to Bumrah, 2 runs","leading edge <b>just</b> clears extra cover. Full and wide outside off, looks to slog. Head's looking leg side, the runs are on the off",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '625383', 'name': 'Jasprit Bumrah', 'runs': 3, 'balls': 2}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 2, 'balls': 4}]","[{'id': '447261', 'name': 'Deepak Chahar', 'overs': 3.5, 'maidens': 0, 'runs': 30, 'wickets': 2}, {'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}]","{'id': '226052', 'balls': 119, 'runs': 160, 'wickets': 9, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,
119040,4,20,1,"Chahar to Chahar, 1 run","another slower short ball. Hooks and connects this time, but straight to Jadeja at deep midwicket",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '1064812', 'name': 'Rahul Chahar', 'runs': 2, 'balls': 4}, {'id': '625383', 'name': 'Jasprit Bumrah', 'runs': 1, 'balls': 1}]","[{'id': '447261', 'name': 'Deepak Chahar', 'overs': 3.4, 'maidens': 0, 'runs': 28, 'wickets': 2}, {'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}]","{'id': '226052', 'balls': 118, 'runs': 158, 'wickets': 9, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,
119030,3,20,0,"Chahar to Chahar, no run",<b>beaten.</b> Slower short ball in the corridor. Looks for the hook and can't connect,<p>Chahar holding his calf between balls. Now bowling to family...</p>,,FALSE,FALSE,FALSE,FALSE,"[{'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 3}, {'id': '625383', 'name': 'Jasprit Bumrah', 'runs': 1, 'balls': 1}]","[{'id': '447261', 'name': 'Deepak Chahar', 'overs': 3.3, 'maidens': 0, 'runs': 27, 'wickets': 2}, {'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}]","{'id': '226052', 'balls': 117, 'runs': 157, 'wickets': 9, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,
119020,2,20,1,"Chahar to Bumrah, 1 run","full outside off, gets forward and flicks to deep midwicket",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '625383', 'name': 'Jasprit Bumrah', 'runs': 1, 'balls': 1}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 2}]","[{'id': '447261', 'name': 'Deepak Chahar', 'overs': 3.2, 'maidens': 0, 'runs': 27, 'wickets': 2}, {'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}]","{'id': '226052', 'balls': 116, 'runs': 157, 'wickets': 9, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,
119010,1,20,0,"Chahar to Boult, OUT",loses his leg stump. Short of good length. Walks into the leg side and swings at that. Completely misses it,"<p>Ishan: ""When T Boult is your No 10. :/""<br>It's never a bad day when you get to see Trent Boult bat. Not sure if Mumbai Indians fans feel that way though...</p>",,FALSE,FALSE,FALSE,FALSE,"[{'id': '277912', 'name': 'Trent Boult', 'runs': 0, 'balls': 1}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 2}]","[{'id': '447261', 'name': 'Deepak Chahar', 'overs': 3.1, 'maidens': 0, 'runs': 26, 'wickets': 2}, {'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}]","{'id': '226052', 'balls': 115, 'runs': 156, 'wickets': 9, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,"{'id': '277912', 'batsmanName': 'Trent Boult', 'bowlerName': 'Deepak Chahar', 'batsmanRuns': 0, 'batsmanBalls': 1, 'text': 'TA Boult  b Chahar 0 (1b 0x4 0x6) SR: 0.00'}"
118060,6,19,0,"Ngidi to Chahar, no run","yorker outside off, watchfully kept out",,"<p>Ngidi today:<br><br></p><p>First 2 overs 29 runs, 0 wkts, 5 boundaries<br></p><p>Last 2 overs 9 runs, 3 wkts, 1 boundary<br></p>",FALSE,FALSE,FALSE,FALSE,"[{'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 2}, {'id': '277912', 'name': 'Trent Boult', 'runs': 0, 'balls': 0}]","[{'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}, {'id': '662973', 'name': 'Sam Curran', 'overs': 4, 'maidens': 0, 'runs': 28, 'wickets': 1}]","{'id': '226052', 'balls': 114, 'runs': 156, 'wickets': 8, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,"{'maiden': False, 'runs': 5, 'wickets': 2, 'totalRuns': 156, 'totalWicket': 8, 'runRate': 8.21, 'requiredRunRate': 0, 'batsmen': [{'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 2}, {'id': '277912', 'name': 'Trent Boult', 'runs': 0, 'balls': 0}], 'bowlers': [{'id': '542023', 'name': 'Lungi Ngidi', 'overs': 4, 'maidens': 0, 'runs': 38, 'wickets': 3}, {'id': '662973', 'name': 'Sam Curran', 'overs': 4, 'maidens': 0, 'runs': 28, 'wickets': 1}], 'teamShortName': 'MI', 'remainingOvers': 0.5, 'remainingBalls': 6, 'remainingRuns': 0}",
118050,5,19,0,"Ngidi to Pattinson, OUT","<b>holes out to long-on.</b> It's that slam-in length again, just short of a good one. Going across the left hander. He's backing away and doesn't have a strong base for this pull. Just catching practice by the end of it, well within the playing area",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '272465', 'name': 'James Pattinson', 'runs': 11, 'balls': 8}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 1}]","[{'id': '542023', 'name': 'Lungi Ngidi', 'overs': 3.5, 'maidens': 0, 'runs': 38, 'wickets': 3}, {'id': '662973', 'name': 'Sam Curran', 'overs': 4, 'maidens': 0, 'runs': 28, 'wickets': 1}]","{'id': '226052', 'balls': 113, 'runs': 156, 'wickets': 8, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,"{'id': '272465', 'batsmanName': 'James Pattinson', 'bowlerName': 'Lungi Ngidi', 'batsmanRuns': 11, 'batsmanBalls': 8, 'text': 'JL Pattinson c du Plessis b Ngidi 11 (8b 2x4 0x6) SR: 137.50'}"
118040,4,19,0,"Ngidi to Pattinson, no run","short of a length at leg stump, swishes across the line and is beaten. It clears leg stump",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '272465', 'name': 'James Pattinson', 'runs': 11, 'balls': 7}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 1}]","[{'id': '542023', 'name': 'Lungi Ngidi', 'overs': 3.4, 'maidens': 0, 'runs': 38, 'wickets': 2}, {'id': '662973', 'name': 'Sam Curran', 'overs': 4, 'maidens': 0, 'runs': 28, 'wickets': 1}]","{'id': '226052', 'balls': 112, 'runs': 156, 'wickets': 7, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,
118030,3,19,4,"Ngidi to Pattinson, FOUR runs","dropped short at middle, pulled firmly to deep square's right and <b>Deepak Chahar completely misses that.</b> Covered the ground and got down at it, but was in a hurry to throw it back. Through his legs","<p>Kalindost: ""Can CSK experiment opening with Curran as Punjab did?"" --- There is a chance they could try him at No. 3 at some point, but CSK are usually not big on experiments</p>",,FALSE,FALSE,FALSE,TRUE,"[{'id': '272465', 'name': 'James Pattinson', 'runs': 11, 'balls': 6}, {'id': '1064812', 'name': 'Rahul Chahar', 'runs': 1, 'balls': 1}]","[{'id': '542023', 'name': 'Lungi Ngidi', 'overs': 3.3, 'maidens': 0, 'runs': 38, 'wickets': 2}, {'id': '662973', 'name': 'Sam Curran', 'overs': 4, 'maidens': 0, 'runs': 28, 'wickets': 1}]","{'id': '226052', 'balls': 111, 'runs': 156, 'wickets': 7, 'team': {'name': 'Mumbai Indians', 'shortName': 'MI'}}",1.60E+12,,
